the.data...1.	total.no.trials	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
A632	NA	4	6	3	5	2	3	5	5	2	4	6	3	4	5	5	8	7	4	5	5	7	4	6	7	5	4	7	6	4	5	6	2	2	3	4	3	5	3	7	3	5	3	5	6	3	5	4	5	8	5	8	5	6	5	5	6	4	5	7	5	4	3	4	7	5	8	6	4	7	5	2	7	5	6	4	8	4	3	6	9	8	5	6	7	4	8	5	3	6	4	4	8	7	7	3	4	5	8	4	7
A634	NA	8	9	10	7	10	9	8	9	8	9	7	7	9	7	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10
A635	NA	4	6	6	5	7	7	8	6	3	7	5	5	4	6	3	3	3	8	7	4	5	6	3	3	3	7	6	2	3	5	4	4	3	5	7	8	6	3	6	6	3	3	4	5	5	3	5	6	4	3	4	4	5	5	6	3	5	7	5	5	4	5	5	4	5	3	5	3	4	6	5	6	5	6	4	1	5	5	7	5	3	4	3	4	4	6	5	5	4	6	5	6	3	3	5	6	7	5	5	5
A641	NA	10	10	10	8	7	10	10	7	9	10	8	8	9	7	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5
A654	NA	9	9	8	10	9	8	9	9	10	9	10	8	8	9	8	7	10	9	9	10	10	7	8	6	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9
A659	NA	4	7	5	5	3	8	4	6	6	3	5	5	4	7	8	3	6	5	5	5	6	5	3	5	3	5	6	6	5	6	6	7	7	3	5	6	5	4	5	4	6	3	6	3	5	5	6	8	6	8	4	8	3	7	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6	6	5	7	6	4	5	7	2	9	7	6	7	5	7	3	9	8	7	3	3	6	7	6	5	5	7	3	5	7
A661	NA	5	6	8	4	3	5	5	4	6	6	5	5	4	6	4	9	4	6	8	4	6	4	5	5	6	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5	6	6	3	2	6	6	5	5	6	3	8	5	5	5	5	6	5	5
A679	NA	2	4	5	5	8	7	4	5	5	7	4	6	7	5	4	7	6	4	5	6	2	2	3	4	3	5	3	7	3	5	3	5	6	3	5	4	5	8	5	8	5	6	5	5	6	4	5	7	5	4	3	4	7	5	8	6	4	7	5	2	7	5	6	4	8	4	3	6	9	8	5	6	7	4	8	5	3	6	4	4	8	7	7	3	4	5	8	4	7	5	7	6	9	5	5	4	4	5	4	6
A680	NA	9	6	10	9	10	10	10	10	8	7	9	9	8	6	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9
A682	NA	5	3	5	3	3	3	8	7	4	5	6	3	3	3	7	6	2	3	5	4	4	3	5	7	8	6	3	6	6	3	3	4	5	5	3	5	6	4	3	4	4	5	5	6	3	5	7	5	5	4	5	5	4	5	3	5	3	4	6	5	6	5	6	4	1	5	5	7	5	3	4	3	4	4	6	5	5	4	6	5	6	3	3	5	6	7	5	5	5	8	7	6	6	7	4	5	5	7	4	4
AB28A	NA	9	9	8	10	8	8	8	10	8	8	10	10	9	10	9	10	8	9	7	10	7	9	10	9	9	9	10	9	8	8	8	8	10	8	6	8	9	8	8	7	8	9	10	8	9	8	10	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9
B10	NA	5	3	7	6	7	4	4	5	2	3	7	6	8	5	6	5	4	6	5	3	6	3	4	6	2	6	3	7	5	3	5	3	6	5	5	5	3	6	2	4	7	5	2	4	4	4	6	5	2	5	4	5	7	2	6	6	5	6	4	6	3	3	3	7	2	7	5	5	4	7	3	4	8	7	4	5	5	8	4	3	6	4	5	5	4	6	6	5	4	5	4	4	5	3	4	6	4	7	5	5
B103	NA	9	8	8	6	10	8	9	8	9	8	9	10	9	10	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10
B104	NA	10	8	7	9	6	10	8	6	9	8	9	9	9	8	10	8	10	9	8	9	10	10	9	8	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9
B105	NA	8	9	9	9	7	8	10	9	8	10	10	10	9	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8
B109	NA	9	10	9	9	8	9	8	9	8	10	7	7	9	8	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9
B115	NA	8	7	7	7	8	10	10	9	9	9	10	8	7	6	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6
B14A	NA	3	5	4	4	3	6	5	7	2	7	5	4	5	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6
B164	NA	8	9	9	8	8	9	8	8	10	8	10	9	8	10	8	10	7	9	10	9	10	8	9	9	8	10	8	10	10	7	9	10	9	10	9	8	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9
B2	NA	8	10	9	9	8	8	9	8	8	7	7	10	9	8	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9
B37	NA	6	6	4	4	6	1	4	6	4	2	2	5	6	5	6	7	6	7	6	4	3	9	2	6	5	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5	6	6	3	2	6	6	5	5	6	3	8	5	5	5	5	6	5	5	10	7	6	6	3	5	3	4	6	3	4	2	7	5	6	5	5	4	8	4	7	6
B46	NA	9	8	10	9	10	7	10	9	10	9	8	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9
B52	NA	8	8	9	5	7	8	9	10	9	9	10	9	10	9	7	10	10	9	9	10	7	8	9	9	7	7	9	8	10	7	9	8	9	8	8	8	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10
B57	NA	10	9	9	8	10	8	8	10	10	10	9	9	10	9	8	9	10	9	9	9	9	8	10	9	7	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6
B64	NA	8	6	5	4	4	4	6	6	6	6	2	6	8	5	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6	5	5	8	7	6	7	4	6	5	5	6
B68	NA	5	5	7	6	3	7	5	3	5	3	6	5	5	5	3	6	2	4	7	5	2	4	4	4	6	5	2	5	4	5	7	2	6	6	5	6	4	6	3	3	3	7	2	7	5	5	4	7	3	4	8	7	4	5	5	8	4	3	6	4	5	5	4	6	6	5	4	5	4	4	5	3	4	6	4	7	5	5	9	6	3	5	5	5	7	7	5	4	5	7	4	5	6	4	1	4	4	7	5	6
B73	NA	9	8	9	9	9	9	9	8	10	8	10	8	9	8	7	8	7	9	6	10	7	10	9	9	7	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10
B73HTRHM	NA	9	7	9	8	7	8	7	8	9	10	5	10	8	9	9	9	7	9	10	9	9	9	7	8	9	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10
B75	NA	10	9	10	8	6	9	6	9	8	9	8	8	9	9	7	9	9	10	9	7	9	7	8	9	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8
B76	NA	4	6	6	7	2	3	5	5	3	7	6	5	5	7	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7	5	9	5	6	4	4	5	4	3	2	6	10	6	4	5	6	6	2	5	5	3	6	4	5	3	2	4	4	5	4	4	5	5	5	4	5	4	4	4	5	7	5	7	5	6	5	6	5	5	3	4	8	4	5	7	7	7	6	7	5	4	4
B77	NA	5	4	6	6	4	3	4	4	5	5	6	3	5	7	5	5	4	5	5	4	5	3	5	3	4	6	5	6	5	6	4	1	5	5	7	5	3	4	3	4	4	6	5	5	4	6	5	6	3	3	5	6	7	5	5	5	8	7	6	6	7	4	5	5	7	4	4	4	6	3	2	5	6	5	4	5	6	8	4	4	6	4	4	5	5	4	6	4	8	3	7	2	5	2	1	3	2	5	3	4
B79	NA	4	6	6	5	6	6	7	7	5	3	6	4	6	3	3	7	6	4	6	5	6	6	5	7	6	3	5	7	6	3	5	5	5	3	5	4	4	5	6	7	5	4	6	6	5	3	7	4	8	5	7	8	2	3	6	9	5	7	3	6	3	2	6	5	6	4	4	4	1	3	4	3	3	6	4	6	4	6	5	5	8	7	6	7	4	6	5	5	6	5	4	7	4	4	6	4	5	4	7	7
B84	NA	8	4	3	3	6	2	4	7	5	2	4	4	4	6	5	2	5	4	5	7	2	6	6	5	6	4	6	3	3	3	7	2	7	5	5	4	7	3	4	8	7	4	5	5	8	4	3	6	4	5	5	4	6	6	5	4	5	4	4	5	3	4	6	4	7	5	5	9	6	3	5	5	5	7	7	5	4	5	7	4	5	6	4	1	4	4	7	5	6	5	5	6	5	5	3	3	1	7	4	6
B97	NA	6	7	6	8	6	8	4	8	3	7	3	5	4	7	7	4	3	4	6	2	6	5	4	9	6	4	6	6	5	7	6	4	5	7	2	9	7	6	7	5	7	3	9	8	7	3	3	6	7	6	5	5	7	3	5	7	8	6	5	4	4	5	3	8	6	6	4	4	6	4	6	3	3	4	5	3	4	5	3	4	5	9	6	3	5	4	4	4	2	6	6	6	4	5	5	5	4	6	5	2
C103	NA	4	6	6	4	5	7	4	3	4	5	5	7	6	4	5	6	8	7	5	5	9	5	6	7	5	2	5	6	4	4	6	4	7	1	6	6	4	5	6	6	3	2	6	6	5	5	6	3	8	5	5	5	5	6	5	5	10	7	6	6	3	5	3	4	6	3	4	2	7	5	6	5	5	4	8	4	7	6	6	5	4	4	3	3	8	5	4	5	3	6	7	7	5	6	3	5	9	6	7	3
C123	NA	5	6	4	7	5	4	3	4	7	5	8	6	4	7	5	2	7	5	6	4	8	4	3	6	9	8	5	6	7	4	8	5	3	6	4	4	8	7	7	3	4	5	8	4	7	5	7	6	9	5	5	4	4	5	4	6	6	5	4	4	5	6	5	3	5	6	6	6	7	5	3	4	5	6	5	5	3	5	3	6	5	6	5	4	5	5	5	5	5	4	3	3	5	6	4	4	5	6	5	7
C49A	NA	6	3	6	8	4	6	2	7	4	6	5	6	6	6	5	6	5	2	1	8	6	7	6	8	7	6	7	5	9	5	6	4	4	5	4	3	2	6	10	6	4	5	6	6	2	5	5	3	6	4	5	3	2	4	4	5	4	4	5	5	5	4	5	4	4	4	5	7	5	7	5	6	5	6	5	5	3	4	8	4	5	7	7	7	6	7	5	4	4	8	4	5	3	4	7	1	5	4	6	7
CH701-30	NA	9	9	9	9	9	9	9	9	9	9	10	9	10	9	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9
CH9	NA	8	9	9	10	8	8	9	8	9	8	8	8	7	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10
CI.7	NA	9	8	9	9	10	9	9	9	7	10	8	8	9	8	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10
CI187-2	NA	8	8	8	7	9	10	10	8	10	8	9	9	6	8	9	8	8	8	7	8	9	9	7	10	5	7	8	7	8	8	10	6	7	7	10	10	8	7	8	9	9	7	10	9	7	6	8	9	9	9	9	10	6	8	8	10	9	8	9	8	10	10	9	9	10	9	9	10	9	9	5	8	10	8	9	10	9	10	8	8	8	9	9	8	9	9	8	9	10	10	9	8	10	9	8	10	9	9	9	6
CI21E	NA	9	10	7	9	8	7	7	8	9	6	8	8	7	9	10	9	8	9	9	8	9	7	10	8	8	9	9	8	8	10	10	8	8	9	9	8	10	6	8	9	9	9	8	9	9	4	7	8	8	10	9	10	10	8	10	9	10	7	9	8	9	9	9	6	9	7	8	8	9	10	9	10	10	6	9	9	8	10	8	7	7	9	8	10	9	5	8	7	10	9	8	9	8	9	7	7	9	7	9	10
CI28A	NA	10	7	8	9	10	7	9	8	10	6	9	10	8	5	6	9	8	7	9	7	9	10	8	9	10	6	7	7	10	9	8	6	9	7	9	7	8	5	8	9	9	9	9	9	8	8	8	9	9	8	8	9	10	9	8	8	8	7	8	10	9	8	8	9	9	10	9	10	8	8	8	8	9	9	9	8	9	8	10	10	10	9	8	9	10	9	8	9	7	7	6	8	10	7	9	9	10	8	10	10
CI31A	NA	10	8	9	9	8	9	10	10	7	8	7	8	6	7	8	7	9	6	9	8	9	9	8	9	10	10	8	4	8	9	9	8	8	10	9	9	10	8	9	9	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	7	9	8	9	8	9	9	10	10	6	9	9	7	7	7	8	7	9	10	9	6	10	9	10	9	7	10	9	9	8	7	10	10	7	9	10	8	8	9	7	10	8
CI3A	NA	10	9	8	8	8	8	8	8	9	10	9	9	7	9	10	9	10	10	10	8	9	9	9	8	9	8	10	10	9	8	7	9	8	9	6	7	8	8	7	9	9	9	7	9	9	10	8	10	10	9	8	9	9	9	8	6	9	9	8	9	9	9	9	9	8	9	6	10	7	10	9	10	10	10	10	9	10	10	8	8	9	9	7	8	9	8	9	10	9	8	9	9	10	9	10	8	8	9	8	7
CI64	NA	8	9	8	10	9	7	8	10	9	9	9	10	9	9	9	9	8	7	9	9	8	8	8	10	7	9	6	9	7	6	10	10	8	5	9	8	10	8	10	10	8	9	8	10	9	10	10	10	9	10	10	8	9	8	9	8	9	8	6	7	8	7	9	8	9	9	8	9	9	7	9	9	8	9	9	9	7	7	8	9	10	8	7	5	9	8	7	9	10	7	9	8	8	10	9	8	9	7	6	10
CI66	NA	10	10	9	9	8	10	10	10	7	10	8	9	9	10	7	10	9	6	7	9	9	8	7	9	10	8	9	9	9	9	8	8	9	9	9	9	9	9	10	9	8	9	7	9	9	5	8	10	9	9	9	7	7	9	9	9	7	9	9	8	9	10	9	9	7	9	8	9	9	8	9	9	10	10	10	7	9	8	7	7	10	9	9	7	10	9	10	9	10	9	9	9	8	8	9	8	9	8	9	6
