simulated.data...1.	rep.num.plants.per.plot..nrow.simulated.data..	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
A632	25	11	14	9	12	9	10	13	13	7	11	14	10	11	12	12	17	15	11	12	13	16	11	14	16	12	11	16	15	10	12	15	8	8	10	11	9	12	10	15	9	13	10	12	14	10	12	10	13	18	12	18	12	14	12	13	13	11	12	15	12	11	10	12	16	12	17	14	11	15	12	8	16	12	14	10	18	11	10	15	19	17	12	13	16	11	17	13	9	14	11	10	17	15	15	9	12	13	17	11	16
A634	25	20	21	24	19	23	22	21	22	20	22	19	19	22	20	22	23	24	23	23	21	19	22	21	21	17	22	20	22	21	22	21	23	19	19	22	20	16	19	20	22	23	21	22	23	22	24	23	19	24	24	22	22	23	19	21	22	22	19	18	23	20	24	19	23	20	22	21	21	20	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21	22	23	25	21	15	21	23	22	21	21	25
A635	25	12	14	14	12	15	16	17	14	9	15	13	12	10	13	9	10	9	17	16	11	12	13	10	10	9	15	15	7	10	12	12	11	10	13	16	17	14	10	15	14	10	9	10	13	12	9	12	14	12	9	11	11	12	12	14	10	12	16	12	12	11	12	12	12	12	9	13	9	11	14	13	15	13	14	12	5	13	12	16	12	9	11	10	11	10	14	13	13	12	14	12	15	10	9	13	15	15	13	13	13
A641	25	23	25	23	21	19	23	25	19	22	23	21	21	21	19	23	20	20	21	25	21	21	23	23	23	23	23	24	20	22	19	24	19	22	23	22	22	22	23	23	21	20	21	20	24	21	18	21	22	21	20	19	20	21	23	20	22	20	24	23	20	21	23	21	22	21	21	21	20	20	23	21	19	20	23	21	22	22	23	22	23	23	22	21	19	22	22	20	21	21	23	19	23	18	22	19	18	24	23	21	16
A654	25	22	21	20	23	22	21	22	22	24	22	23	20	20	21	20	20	23	22	21	24	24	19	21	17	21	21	21	23	20	21	23	21	24	22	20	24	21	24	19	21	24	21	24	20	22	22	21	24	20	25	23	19	22	24	22	23	23	20	22	24	22	22	21	19	24	21	20	22	20	23	20	24	24	24	20	24	20	21	21	23	19	23	23	17	19	23	22	21	18	22	24	21	23	22	22	22	20	21	22	23
A659	25	10	15	12	13	10	17	11	14	14	9	12	13	11	16	17	9	13	12	13	12	14	12	10	12	10	13	14	14	13	14	14	15	15	9	12	14	12	12	13	11	14	9	14	10	13	13	14	17	15	17	11	17	10	16	10	12	12	16	16	11	10	10	14	8	13	12	11	18	15	12	14	14	13	16	13	11	12	16	8	19	15	13	15	13	15	10	18	17	15	9	10	14	15	14	13	13	15	9	13	16
A661	25	13	13	18	12	10	12	12	11	14	14	12	13	11	15	11	18	10	14	18	11	15	12	13	13	15	10	14	7	12	14	12	7	7	13	14	13	14	16	15	15	14	11	10	19	8	13	12	11	13	16	11	10	11	12	12	16	14	12	12	14	17	15	13	12	18	13	14	15	13	8	12	14	11	11	14	12	16	6	15	14	11	13	14	14	9	7	14	15	13	12	14	10	17	13	12	12	12	14	12	12
A679	25	7	11	12	12	17	15	11	12	13	16	11	14	16	12	11	16	15	10	12	15	8	8	10	11	9	12	10	15	9	13	10	12	14	10	12	10	13	18	12	18	12	14	12	13	13	11	12	15	12	11	10	12	16	12	17	14	11	15	12	8	16	12	14	10	18	11	10	15	19	17	12	13	16	11	17	13	9	14	11	10	17	15	15	9	12	13	17	11	16	13	16	13	19	13	12	11	11	13	11	14
A680	25	22	18	23	22	23	24	23	23	21	19	22	21	21	17	22	20	22	21	22	21	23	19	19	22	20	16	19	20	22	23	21	22	23	22	24	23	19	24	24	22	22	23	19	21	22	22	19	18	23	20	24	19	23	20	22	21	21	20	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21	22	23	25	21	15	21	23	22	21	21	25	22	22	24	21	23	22	24	24	22	23	21
A682	25	13	10	12	9	10	9	17	16	11	12	13	10	10	9	15	15	7	10	12	12	11	10	13	16	17	14	10	15	14	10	9	10	13	12	9	12	14	12	9	11	11	12	12	14	10	12	16	12	12	11	12	12	12	12	9	13	9	11	14	13	15	13	14	12	5	13	12	16	12	9	11	10	11	10	14	13	13	12	14	12	15	10	9	13	15	15	13	13	13	17	16	14	14	16	12	13	12	16	11	11
AB28A	25	22	23	21	23	20	20	21	25	21	21	23	23	23	23	23	24	20	22	19	24	19	22	23	22	22	22	23	23	21	20	21	20	24	21	18	21	22	21	20	19	20	21	23	20	22	20	24	23	20	21	23	21	22	21	21	21	20	20	23	21	19	20	23	21	22	22	23	22	23	23	22	21	19	22	22	20	21	21	23	19	23	18	22	19	18	24	23	21	16	22	20	24	21	24	24	20	22	21	23	22
B10	25	12	9	15	14	15	10	11	13	8	9	16	14	18	13	14	13	11	14	13	10	14	9	11	15	8	13	9	16	13	9	13	9	14	12	12	13	9	14	7	10	16	12	8	11	10	11	14	12	8	12	12	13	16	8	14	14	12	14	11	14	9	9	9	15	8	15	13	13	10	15	10	11	18	15	11	12	13	17	11	9	14	11	12	12	12	15	13	12	11	12	11	11	13	10	11	15	11	16	12	12
B103	25	22	20	21	18	24	21	22	21	22	21	22	23	22	23	21	21	21	21	20	20	20	19	24	22	20	22	22	21	23	20	24	20	23	21	21	21	18	20	18	23	18	23	19	23	22	22	19	19	22	23	23	20	24	21	22	22	17	20	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20	24	23	21	20	20	21	22	20	24	21	19	18	20	21	22	23	22	23	18	21	20	23
B104	25	23	20	19	22	17	23	20	17	23	20	22	21	21	20	23	21	25	22	20	22	25	25	21	20	21	20	19	20	20	21	23	23	16	24	21	22	22	21	19	23	23	23	22	22	19	21	22	22	21	18	19	21	22	17	21	21	19	21	24	22	21	22	23	21	22	19	25	20	20	22	21	20	20	24	25	21	20	22	22	20	23	18	21	22	22	22	20	22	22	15	19	21	20	23	22	23	23	21	23	23
B105	25	21	22	22	22	19	20	23	22	20	24	24	23	22	24	22	23	20	24	21	23	22	21	23	22	23	21	17	22	17	22	20	22	21	21	23	22	19	22	22	23	22	19	22	18	20	22	20	22	24	19	22	20	23	17	22	23	20	16	18	22	21	19	23	18	22	24	20	23	23	18	20	19	24	22	21	18	23	19	22	19	21	16	21	22	22	23	21	23	21	20	21	22	23	21	21	22	23	22	20	20
B109	25	22	25	21	22	20	22	21	22	21	23	19	19	22	20	16	19	20	22	23	21	22	23	22	24	23	19	24	24	22	22	23	19	21	22	22	19	18	23	20	24	19	23	20	22	21	21	20	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21	22	23	25	21	15	21	23	22	21	21	25	22	22	24	21	23	22	24	24	22	23	21	23	23	21	22	22	23	22	23	23	22	21
B115	25	21	20	19	19	20	25	23	22	22	22	23	21	19	18	21	23	20	20	23	24	23	22	22	24	22	20	22	24	23	23	22	22	20	23	22	19	22	22	22	22	22	22	22	24	21	24	23	21	21	20	21	21	22	25	22	22	19	22	23	22	23	23	23	20	21	21	22	21	22	20	23	24	21	20	20	21	21	21	18	19	21	21	19	22	22	22	19	22	22	23	21	24	24	21	20	22	22	22	20	17
B14A	25	9	13	11	11	9	14	12	16	8	16	12	11	12	12	12	10	11	14	15	13	14	8	14	17	13	13	14	15	16	15	13	10	15	11	15	9	10	15	14	11	14	12	14	13	13	15	15	10	13	16	15	10	13	12	12	10	12	11	11	12	14	16	12	12	15	14	13	10	16	11	17	12	16	17	8	10	14	19	13	15	9	14	9	9	14	12	14	10	12	10	6	9	11	9	10	15	11	13	11	14
B164	25	21	22	22	21	21	23	20	21	23	21	24	22	20	24	21	24	19	21	24	21	24	20	22	22	21	24	20	25	23	19	22	24	22	23	23	20	22	24	22	22	21	19	24	21	20	22	20	23	20	24	24	24	20	24	20	21	21	23	19	23	23	17	19	23	22	21	18	22	24	21	23	22	22	22	20	21	22	23	22	23	23	21	23	23	20	22	19	22	22	16	21	24	22	22	22	19	19	22	22	22
B2	25	21	23	21	21	21	21	21	20	20	20	19	24	22	20	22	22	21	23	20	24	20	23	21	21	21	18	20	18	23	18	23	19	23	22	22	19	19	22	23	23	20	24	21	22	22	17	20	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20	24	23	21	20	20	21	22	20	24	21	19	18	20	21	22	23	22	23	18	21	20	23	22	21	22	21	24	24	22	22	24	23	22
B37	25	14	15	11	10	14	7	12	14	12	7	7	13	14	13	14	16	15	15	14	11	10	19	8	13	12	11	13	16	11	10	11	12	12	16	14	12	12	14	17	15	13	12	18	13	14	15	13	8	12	14	11	11	14	12	16	6	15	14	11	13	14	14	9	7	14	15	13	12	14	10	17	13	12	12	12	14	12	12	21	15	14	14	10	12	10	10	13	10	11	8	16	12	14	12	12	11	18	12	15	13
B46	25	23	21	23	22	23	20	24	21	23	22	21	23	22	23	21	17	22	17	22	20	22	21	21	23	22	19	22	22	23	22	19	22	18	20	22	20	22	24	19	22	20	23	17	22	23	20	16	18	22	21	19	23	18	22	24	20	23	23	18	20	19	24	22	21	18	23	19	22	19	21	16	21	22	22	23	21	23	21	20	21	22	23	21	21	22	23	22	20	20	20	20	21	24	23	21	21	22	22	24	21
B52	25	21	21	23	16	19	20	22	23	21	22	23	22	24	23	19	24	24	22	22	23	19	21	22	22	19	18	23	20	24	19	23	20	22	21	21	20	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21	22	23	25	21	15	21	23	22	21	21	25	22	22	24	21	23	22	24	24	22	23	21	23	23	21	22	22	23	22	23	23	22	21	20	22	19	22	21	22	21	22	22	23	23
B57	25	23	22	23	21	23	20	20	23	24	23	22	22	24	22	20	22	24	23	23	22	22	20	23	22	19	22	22	22	22	22	22	22	24	21	24	23	21	21	20	21	21	22	25	22	22	19	22	23	22	23	23	23	20	21	21	22	21	22	20	23	24	21	20	20	21	21	21	18	19	21	21	19	22	22	22	19	22	22	23	21	24	24	21	20	22	22	22	20	17	23	23	21	22	23	22	21	22	21	23	18
B64	25	17	14	13	12	10	11	14	15	13	14	8	14	17	13	13	14	15	16	15	13	10	15	11	15	9	10	15	14	11	14	12	14	13	13	15	15	10	13	16	15	10	13	12	12	10	12	11	11	12	14	16	12	12	15	14	13	10	16	11	17	12	16	17	8	10	14	19	13	15	9	14	9	9	14	12	14	10	12	10	6	9	11	9	10	15	11	13	11	14	13	13	18	16	14	16	11	14	13	12	14
B68	25	12	12	16	13	9	16	13	9	13	9	14	12	12	13	9	14	7	10	16	12	8	11	10	11	14	12	8	12	12	13	16	8	14	14	12	14	11	14	9	9	9	15	8	15	13	13	10	15	10	11	18	15	11	12	13	17	11	9	14	11	12	12	12	15	13	12	11	12	11	11	13	10	11	15	11	16	12	12	19	14	9	12	12	12	15	16	12	11	12	16	11	12	15	11	6	11	11	16	12	13
B73	25	21	20	22	22	22	21	23	20	24	20	23	21	21	21	18	20	18	23	18	23	19	23	22	22	19	19	22	23	23	20	24	21	22	22	17	20	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20	24	23	21	20	20	21	22	20	24	21	19	18	20	21	22	23	22	23	18	21	20	23	22	21	22	21	24	24	22	22	24	23	22	23	22	22	17	20	24	21	22	23	23	24
B73HTRHM	25	22	19	23	20	19	20	20	21	23	23	16	24	21	22	22	21	19	23	23	23	22	22	19	21	22	22	21	18	19	21	22	17	21	21	19	21	24	22	21	22	23	21	22	19	25	20	20	22	21	20	20	24	25	21	20	22	22	20	23	18	21	22	22	22	20	22	22	15	19	21	20	23	22	23	23	21	23	23	24	19	22	21	22	22	23	17	22	20	21	20	22	23	23	24	23	18	22	22	21	24
B75	25	23	22	23	21	17	22	17	22	20	22	21	21	23	22	19	22	22	23	22	19	22	18	20	22	20	22	24	19	22	20	23	17	22	23	20	16	18	22	21	19	23	18	22	24	20	23	23	18	20	19	24	22	21	18	23	19	22	19	21	16	21	22	22	23	21	23	21	20	21	22	23	21	21	22	23	22	20	20	20	20	21	24	23	21	21	22	22	24	21	23	21	21	21	21	23	22	22	21	22	21
B76	25	11	14	15	16	8	9	12	12	10	15	14	12	12	16	17	11	15	8	16	11	15	12	14	14	14	13	15	13	7	6	17	14	16	15	17	16	15	16	12	18	13	14	12	11	13	12	10	7	14	20	13	11	12	13	13	7	12	12	9	13	11	12	9	8	12	11	13	11	11	13	12	12	11	12	11	11	11	13	15	12	16	13	14	12	14	13	12	10	10	18	11	12	16	16	16	15	16	13	10	11
B77	25	12	12	14	14	12	9	11	11	12	12	14	10	12	16	12	12	11	12	12	12	12	9	13	9	11	14	13	15	13	14	12	5	13	12	16	12	9	11	10	11	10	14	13	13	12	14	12	15	10	9	13	15	15	13	13	13	17	16	14	14	16	12	13	12	16	11	11	10	14	9	8	13	14	12	11	12	14	18	11	11	13	11	11	12	13	11	14	11	17	10	16	7	13	7	6	9	8	13	10	10
B79	25	11	14	15	13	14	15	16	15	13	10	15	11	15	9	10	15	14	11	14	12	14	13	13	15	15	10	13	16	15	10	13	12	12	10	12	11	11	12	14	16	12	12	15	14	13	10	16	11	17	12	16	17	8	10	14	19	13	15	9	14	9	9	14	12	14	10	12	10	6	9	11	9	10	15	11	13	11	14	13	13	18	16	14	16	11	14	13	12	14	12	11	15	11	12	14	12	13	11	15	16
B84	25	17	11	10	9	14	7	10	16	12	8	11	10	11	14	12	8	12	12	13	16	8	14	14	12	14	11	14	9	9	9	15	8	15	13	13	10	15	10	11	18	15	11	12	13	17	11	9	14	11	12	12	12	15	13	12	11	12	11	11	13	10	11	15	11	16	12	12	19	14	9	12	12	12	15	16	12	11	12	16	11	12	15	11	6	11	11	16	12	13	12	13	14	12	12	10	9	7	16	11	14
B97	25	15	16	15	17	15	17	11	17	10	16	10	12	12	16	16	11	10	10	14	8	13	12	11	18	15	12	14	14	13	16	13	11	12	16	8	19	15	13	15	13	15	10	18	17	15	9	10	14	15	14	13	13	15	9	13	16	17	14	13	12	11	13	10	17	14	15	10	12	13	11	14	9	9	12	12	9	11	12	10	12	12	18	15	9	13	11	10	11	8	14	13	15	11	12	13	12	11	14	12	9
C103	25	10	15	13	11	13	16	11	10	11	12	12	16	14	12	12	14	17	15	13	12	18	13	14	15	13	8	12	14	11	11	14	12	16	6	15	14	11	13	14	14	9	7	14	15	13	12	14	10	17	13	12	12	12	14	12	12	21	15	14	14	10	12	10	10	13	10	11	8	16	12	14	12	12	11	18	12	15	13	14	12	10	11	9	10	17	12	11	13	9	14	16	16	13	15	9	12	19	14	16	10
C123	25	13	14	11	15	12	11	10	12	16	12	17	14	11	15	12	8	16	12	14	10	18	11	10	15	19	17	12	13	16	11	17	13	9	14	11	10	17	15	15	9	12	13	17	11	16	13	16	13	19	13	12	11	11	13	11	14	15	13	11	11	13	14	12	10	12	14	14	14	15	13	9	11	13	14	12	12	9	13	10	13	13	14	13	11	12	12	13	12	13	10	10	10	12	15	11	11	13	14	12	15
C49A	25	15	9	14	17	11	15	8	16	11	15	12	14	14	14	13	15	13	7	6	17	14	16	15	17	16	15	16	12	18	13	14	12	11	13	12	10	7	14	20	13	11	12	13	13	7	12	12	9	13	11	12	9	8	12	11	13	11	11	13	12	12	11	12	11	11	11	13	15	12	16	13	14	12	14	13	12	10	10	18	11	12	16	16	16	15	16	13	10	11	17	10	13	9	11	16	7	12	11	14	15
CH701-30	25	23	21	23	22	22	22	22	22	22	22	24	21	24	23	21	21	20	21	21	22	25	22	22	19	22	23	22	23	23	23	20	21	21	22	21	22	20	23	24	21	20	20	21	21	21	18	19	21	21	19	22	22	22	19	22	22	23	21	24	24	21	20	22	22	22	20	17	23	23	21	22	23	22	21	22	21	23	18	23	19	25	22	25	25	24	24	22	23	23	20	21	22	22	19	20	21	20	23	23	22
CH9	25	21	23	22	23	20	21	23	21	22	21	21	21	20	20	23	21	19	20	23	21	22	22	23	22	23	23	22	21	19	22	22	20	21	21	23	19	23	18	22	19	18	24	23	21	16	22	20	24	21	24	24	20	22	21	23	22	23	25	24	23	24	23	20	23	21	22	21	21	21	18	19	21	19	23	21	21	22	21	22	22	20	22	22	21	22	22	23	20	19	21	22	23	21	19	17	22	21	19	21	23
CI.7	25	21	20	23	22	24	22	22	21	19	24	21	20	22	20	23	20	24	24	24	20	24	20	21	21	23	19	23	23	17	19	23	22	21	18	22	24	21	23	22	22	22	20	21	22	23	22	23	23	21	23	23	20	22	19	22	22	16	21	24	22	22	22	19	19	22	22	22	19	23	22	20	23	25	22	23	19	22	21	22	21	20	22	22	23	24	25	19	23	20	18	19	24	22	22	19	23	21	23	22	23
CI187-2	25	21	20	20	19	22	23	23	20	24	21	22	22	17	20	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20	24	23	21	20	20	21	22	20	24	21	19	18	20	21	22	23	22	23	18	21	20	23	22	21	22	21	24	24	22	22	24	23	22	23	22	22	17	20	24	21	22	23	23	24	20	21	20	22	22	21	22	23	20	22	24	23	21	21	25	23	21	23	22	22	22	18
CI21E	25	21	23	19	22	21	18	19	21	22	17	21	21	19	21	24	22	21	22	23	21	22	19	25	20	20	22	21	20	20	24	25	21	20	22	22	20	23	18	21	22	22	22	20	22	22	15	19	21	20	23	22	23	23	21	23	23	24	19	22	21	22	22	23	17	22	20	21	20	22	23	23	24	23	18	22	22	21	24	20	19	19	21	20	23	22	16	20	19	23	22	21	22	20	22	19	19	22	20	22	23
CI28A	25	23	19	20	22	24	19	22	20	23	17	22	23	20	16	18	22	21	19	23	18	22	24	20	23	23	18	20	19	24	22	21	18	23	19	22	19	21	16	21	22	22	23	21	23	21	20	21	22	23	21	21	22	23	22	20	20	20	20	21	24	23	21	21	22	22	24	21	23	21	21	21	21	23	22	22	21	22	21	23	23	23	22	20	23	23	21	20	22	19	19	18	20	24	19	21	22	23	21	24	23
CI31A	25	24	20	23	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21	22	23	25	21	15	21	23	22	21	21	25	22	22	24	21	23	22	24	24	22	23	21	23	23	21	22	22	23	22	23	23	22	21	20	22	19	22	21	22	21	22	22	23	23	17	22	22	19	19	19	20	19	22	23	22	18	23	21	24	23	19	25	22	23	21	19	23	25	19	22	23	21	21	21	19	23	20
CI3A	25	23	22	21	21	21	20	21	21	22	25	22	22	19	22	23	22	23	23	23	20	21	21	22	21	22	20	23	24	21	20	20	21	21	21	18	19	21	21	19	22	22	22	19	22	22	23	21	24	24	21	20	22	22	22	20	17	23	23	21	22	23	22	21	22	21	23	18	23	19	25	22	25	25	24	24	22	23	23	20	21	22	22	19	20	21	20	23	23	22	21	22	22	24	22	23	20	20	21	20	20
CI64	25	21	22	20	23	21	19	20	23	21	22	22	23	22	23	23	22	21	19	22	22	20	21	21	23	19	23	18	22	19	18	24	23	21	16	22	20	24	21	24	24	20	22	21	23	22	23	25	24	23	24	23	20	23	21	22	21	21	21	18	19	21	19	23	21	21	22	21	22	22	20	22	22	21	22	22	23	20	19	21	22	23	21	19	17	22	21	19	21	23	18	23	21	20	24	22	21	23	19	18	24
CI66	25	23	23	21	23	20	24	24	24	20	24	20	21	21	23	19	23	23	17	19	23	22	21	18	22	24	21	23	22	22	22	20	21	22	23	22	23	23	21	23	23	20	22	19	22	22	16	21	24	22	22	22	19	19	22	22	22	19	23	22	20	23	25	22	23	19	22	21	22	21	20	22	22	23	24	25	19	23	20	18	19	24	22	22	19	23	21	23	22	23	22	22	22	20	21	22	21	23	20	22	17
CI90C	25	23	19	22	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20	24	23	21	20	20	21	22	20	24	21	19	18	20	21	22	23	22	23	18	21	20	23	22	21	22	21	24	24	22	22	24	23	22	23	22	22	17	20	24	21	22	23	23	24	20	21	20	22	22	21	22	23	20	22	24	23	21	21	25	23	21	23	22	22	22	18	20	23	22	21	19	23	21	19	22	22	19
