simulated.data...1.	rep.num.plants.per.plot..nrow.simulated.data..	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
A632	15	7	9	4	7	4	5	8	8	4	6	9	6	7	7	7	11	10	6	7	8	10	6	8	10	7	7	10	9	6	7	9	4	4	6	7	5	7	6	10	5	8	5	7	9	5	7	6	8	12	7	12	7	9	7	8	8	6	7	10	7	7	5	7	10	7	11	9	7	9	7	4	10	7	9	6	12	7	6	9	13	11	7	8	10	6	11	8	5	9	6	6	11	10	10	5	7	8	11	6	11
A634	15	12	13	14	11	14	13	13	13	12	13	11	11	13	12	14	14	15	14	14	12	11	13	13	13	10	13	12	13	12	13	13	14	11	11	13	12	9	11	12	13	14	13	13	14	14	15	14	11	15	15	13	13	14	11	12	13	13	11	11	14	12	15	11	14	12	13	12	12	12	13	12	13	15	15	10	12	11	12	10	11	12	11	13	9	13	12	13	14	13	13	14	15	12	8	13	14	13	13	13	15
A635	15	7	9	9	7	10	10	11	9	5	10	8	7	6	8	5	5	5	11	10	6	7	8	6	6	5	10	9	3	6	7	7	7	6	8	10	11	9	5	9	9	5	5	6	8	7	5	7	9	7	5	6	6	7	7	9	5	7	11	7	7	7	7	7	7	7	5	8	4	6	8	8	9	8	8	7	2	8	7	10	7	5	7	5	6	6	9	8	8	7	9	7	9	5	5	8	9	10	8	8	8
A641	15	14	15	14	12	11	14	15	11	14	14	12	12	13	11	14	12	12	13	15	13	13	14	14	14	14	14	15	12	13	11	15	11	13	14	13	13	14	14	14	12	12	12	12	15	12	10	13	13	12	12	11	12	13	14	12	14	12	15	14	12	12	14	12	13	12	13	13	11	12	14	13	11	12	14	13	13	13	14	13	14	14	13	12	11	13	13	12	12	13	14	11	14	10	13	11	10	15	14	12	9
A654	15	13	13	12	14	14	13	14	14	15	13	14	12	12	13	12	11	14	14	13	15	15	11	12	10	13	12	13	14	12	13	14	12	15	14	12	15	13	15	11	13	15	13	15	12	13	13	13	15	12	15	14	11	13	15	14	14	14	12	13	15	13	13	13	11	15	12	12	13	12	14	12	15	15	15	11	15	12	13	13	14	11	14	14	10	11	14	13	13	10	14	15	12	14	13	13	13	12	13	13	14
A659	15	6	9	7	8	5	11	6	8	9	5	7	8	6	10	11	5	8	7	8	7	8	7	5	7	6	8	9	8	8	9	9	10	10	5	7	9	7	7	8	6	9	5	9	5	8	8	9	11	9	11	6	11	6	10	6	7	7	10	10	7	6	6	9	4	8	7	7	12	9	7	9	9	8	10	8	6	7	10	4	13	10	8	10	8	9	5	12	11	10	5	6	8	9	9	8	8	10	5	8	10
A661	15	8	8	11	7	6	7	7	7	9	8	7	8	6	9	7	12	6	9	12	6	9	7	8	8	9	6	9	3	7	9	7	4	4	8	9	8	9	11	9	9	9	6	5	13	4	8	7	7	8	10	6	5	6	7	7	10	9	7	7	9	11	10	8	7	12	8	8	10	8	4	7	8	6	6	8	7	10	3	9	9	7	8	9	9	5	3	8	9	8	7	9	5	11	8	7	7	7	9	7	7
A679	15	4	7	7	7	11	10	6	7	8	10	6	8	10	7	7	10	9	6	7	9	4	4	6	7	5	7	6	10	5	8	5	7	9	5	7	6	8	12	7	12	7	9	7	8	8	6	7	10	7	7	5	7	10	7	11	9	7	9	7	4	10	7	9	6	12	7	6	9	13	11	7	8	10	6	11	8	5	9	6	6	11	10	10	5	7	8	11	6	11	8	10	8	12	8	7	7	6	8	6	9
A680	15	13	10	14	14	14	15	14	14	12	11	13	13	13	10	13	12	13	12	13	13	14	11	11	13	12	9	11	12	13	14	13	13	14	14	15	14	11	15	15	13	13	14	11	12	13	13	11	11	14	12	15	11	14	12	13	12	12	12	13	12	13	15	15	10	12	11	12	10	11	12	11	13	9	13	12	13	14	13	13	14	15	12	8	13	14	13	13	13	15	13	13	15	12	14	13	14	15	13	14	13
A682	15	8	5	7	5	5	5	11	10	6	7	8	6	6	5	10	9	3	6	7	7	7	6	8	10	11	9	5	9	9	5	5	6	8	7	5	7	9	7	5	6	6	7	7	9	5	7	11	7	7	7	7	7	7	7	5	8	4	6	8	8	9	8	8	7	2	8	7	10	7	5	7	5	6	6	9	8	8	7	9	7	9	5	5	8	9	10	8	8	8	11	10	8	8	10	7	8	7	10	7	7
AB28A	15	13	14	12	14	12	12	13	15	13	13	14	14	14	14	14	15	12	13	11	15	11	13	14	13	13	14	14	14	12	12	12	12	15	12	10	13	13	12	12	11	12	13	14	12	14	12	15	14	12	12	14	12	13	12	13	13	11	12	14	13	11	12	14	13	13	13	14	13	14	14	13	12	11	13	13	12	12	13	14	11	14	10	13	11	10	15	14	12	9	13	12	15	12	15	15	12	13	12	14	13
B10	15	7	5	9	9	9	6	6	8	4	5	10	9	11	8	9	8	6	9	8	5	8	4	7	9	4	8	5	10	8	5	8	5	9	7	7	8	5	9	3	6	10	7	4	6	6	6	9	7	4	7	7	8	11	4	9	9	7	9	6	9	5	5	5	10	4	9	8	8	6	10	6	6	12	10	6	7	8	11	7	5	9	6	7	7	7	9	8	7	6	7	6	6	8	6	6	9	7	10	7	7
B103	15	14	12	13	10	15	12	13	13	13	12	13	14	13	14	13	12	12	13	12	12	11	11	15	13	12	13	13	13	14	12	14	12	14	13	13	12	10	12	10	14	10	14	11	14	13	13	11	11	14	14	14	12	15	12	13	14	9	12	14	12	12	13	11	12	14	13	11	15	8	11	13	11	13	12	14	9	11	11	14	14	12	12	12	13	13	11	15	13	11	10	12	13	14	14	13	14	10	12	12	14
B104	15	14	12	11	14	9	14	12	10	14	12	13	13	13	12	14	12	15	13	12	13	15	15	13	12	13	12	11	12	12	12	14	14	8	15	13	13	14	13	11	14	14	14	13	13	11	12	13	13	12	10	11	13	13	9	13	12	11	13	15	13	12	14	14	12	13	11	15	12	12	14	13	12	12	15	15	12	12	13	13	12	14	10	13	13	13	13	12	13	13	8	11	12	12	14	13	14	14	12	14	14
B105	15	13	13	13	14	11	12	14	13	12	15	15	14	14	15	13	14	11	15	13	14	13	12	14	13	14	13	9	13	9	13	12	13	13	12	14	13	11	13	14	14	13	11	13	11	12	14	12	13	15	11	13	12	14	10	14	14	12	8	10	13	12	11	14	10	13	14	12	14	14	10	11	11	14	13	13	10	14	11	13	11	12	9	13	13	14	14	13	14	12	12	13	14	14	13	12	13	14	13	12	12
B109	15	14	15	13	13	12	13	12	13	13	14	11	11	13	12	9	11	12	13	14	13	13	14	14	15	14	11	15	15	13	13	14	11	12	13	13	11	11	14	12	15	11	14	12	13	12	12	12	13	12	13	15	15	10	12	11	12	10	11	12	11	13	9	13	12	13	14	13	13	14	15	12	8	13	14	13	13	13	15	13	13	15	12	14	13	14	15	13	14	13	14	14	13	13	13	14	13	14	14	14	13
B115	15	12	11	11	11	12	15	14	13	13	14	14	13	11	10	12	14	12	12	14	14	14	13	13	15	13	12	13	15	14	14	13	13	12	14	13	11	13	13	14	13	13	13	13	15	13	15	14	12	13	12	13	12	13	15	13	13	11	13	14	14	14	14	14	12	13	13	14	12	13	12	14	15	13	12	11	13	13	13	10	11	12	12	11	13	13	13	11	14	14	14	12	15	15	13	12	13	14	13	12	10
B14A	15	5	8	7	6	4	9	7	10	4	10	7	6	7	7	7	6	6	8	9	8	9	4	8	11	8	8	8	9	10	9	8	5	9	6	9	5	5	9	9	6	9	7	8	8	8	10	9	5	8	10	9	6	8	7	7	6	7	6	6	7	8	10	7	7	9	8	8	6	10	6	11	7	10	11	4	5	8	12	8	9	5	9	5	4	9	7	8	6	7	6	3	5	6	4	5	9	6	8	7	9
B164	15	12	13	13	12	13	14	12	13	14	12	15	14	12	15	13	15	11	13	15	13	15	12	13	13	13	15	12	15	14	11	13	15	14	14	14	12	13	15	13	13	13	11	15	12	12	13	12	14	12	15	15	15	11	15	12	13	13	14	11	14	14	10	11	14	13	13	10	14	15	12	14	13	13	13	12	13	13	14	13	14	14	13	14	14	12	14	11	13	13	9	12	14	13	13	13	11	11	13	14	13
B2	15	13	14	13	13	12	12	13	12	12	11	11	15	13	12	13	13	13	14	12	14	12	14	13	13	12	10	12	10	14	10	14	11	14	13	13	11	11	14	14	14	12	15	12	13	14	9	12	14	12	12	13	11	12	14	13	11	15	8	11	13	11	13	12	14	9	11	11	14	14	12	12	12	13	13	11	15	13	11	10	12	13	14	14	13	14	10	12	12	14	13	13	14	12	15	15	13	13	15	14	13
B37	15	9	9	7	6	9	3	7	9	7	4	4	8	9	8	9	11	9	9	9	6	5	13	4	8	7	7	8	10	6	5	6	7	7	10	9	7	7	9	11	10	8	7	12	8	8	10	8	4	7	8	6	6	8	7	10	3	9	9	7	8	9	9	5	3	8	9	8	7	9	5	11	8	7	7	7	9	7	7	14	10	8	9	5	7	5	6	8	5	6	4	10	7	9	7	7	6	12	7	10	8
B46	15	14	13	14	13	14	11	15	13	14	13	12	14	13	14	13	9	13	9	13	12	13	13	12	14	13	11	13	14	14	13	11	13	11	12	14	12	13	15	11	13	12	14	10	14	14	12	8	10	13	12	11	14	10	13	14	12	14	14	10	11	11	14	13	13	10	14	11	13	11	12	9	13	13	14	14	13	14	12	12	13	14	14	13	12	13	14	13	12	12	12	12	13	14	14	13	12	13	13	15	13
B52	15	12	13	14	9	11	12	13	14	13	13	14	14	15	14	11	15	15	13	13	14	11	12	13	13	11	11	14	12	15	11	14	12	13	12	12	12	13	12	13	15	15	10	12	11	12	10	11	12	11	13	9	13	12	13	14	13	13	14	15	12	8	13	14	13	13	13	15	13	13	15	12	14	13	14	15	13	14	13	14	14	13	13	13	14	13	14	14	14	13	12	13	11	13	12	13	12	13	13	14	14
B57	15	14	14	14	12	14	12	12	14	14	14	13	13	15	13	12	13	15	14	14	13	13	12	14	13	11	13	13	14	13	13	13	13	15	13	15	14	12	13	12	13	12	13	15	13	13	11	13	14	14	14	14	14	12	13	13	14	12	13	12	14	15	13	12	11	13	13	13	10	11	12	12	11	13	13	13	11	14	14	14	12	15	15	13	12	13	14	13	12	10	14	14	13	14	14	13	13	14	12	14	10
B64	15	11	9	8	7	6	6	8	9	8	9	4	8	11	8	8	8	9	10	9	8	5	9	6	9	5	5	9	9	6	9	7	8	8	8	10	9	5	8	10	9	6	8	7	7	6	7	6	6	7	8	10	7	7	9	8	8	6	10	6	11	7	10	11	4	5	8	12	8	9	5	9	5	4	9	7	8	6	7	6	3	5	6	4	5	9	6	8	7	9	8	8	11	10	9	10	6	8	8	7	9
B68	15	7	7	10	8	5	10	8	5	8	5	9	7	7	8	5	9	3	6	10	7	4	6	6	6	9	7	4	7	7	8	11	4	9	9	7	9	6	9	5	5	5	10	4	9	8	8	6	10	6	6	12	10	6	7	8	11	7	5	9	6	7	7	7	9	8	7	6	7	6	6	8	6	6	9	7	10	7	7	13	8	5	7	7	7	10	10	7	7	7	11	6	7	9	6	3	6	6	10	7	8
B73	15	13	12	13	13	13	13	14	12	14	12	14	13	13	12	10	12	10	14	10	14	11	14	13	13	11	11	14	14	14	12	15	12	13	14	9	12	14	12	12	13	11	12	14	13	11	15	8	11	13	11	13	12	14	9	11	11	14	14	12	12	12	13	13	11	15	13	11	10	12	13	14	14	13	14	10	12	12	14	13	13	14	12	15	15	13	13	15	14	13	14	14	13	9	12	15	13	14	14	14	15
B73HTRHM	15	13	11	14	12	11	12	12	12	14	14	8	15	13	13	14	13	11	14	14	14	13	13	11	12	13	13	12	10	11	13	13	9	13	12	11	13	15	13	12	14	14	12	13	11	15	12	12	14	13	12	12	15	15	12	12	13	13	12	14	10	13	13	13	13	12	13	13	8	11	12	12	14	13	14	14	12	14	14	15	11	13	12	13	13	14	9	13	11	13	12	13	14	14	15	14	10	13	14	13	15
B75	15	14	14	14	13	9	13	9	13	12	13	13	12	14	13	11	13	14	14	13	11	13	11	12	14	12	13	15	11	13	12	14	10	14	14	12	8	10	13	12	11	14	10	13	14	12	14	14	10	11	11	14	13	13	10	14	11	13	11	12	9	13	13	14	14	13	14	12	12	13	14	14	13	12	13	14	13	12	12	12	12	13	14	14	13	12	13	13	15	13	14	13	13	12	13	14	13	13	13	13	13
B76	15	6	8	9	11	4	5	7	7	6	10	8	7	7	10	11	6	9	4	10	6	9	7	9	9	9	8	9	8	3	2	11	9	10	9	11	10	9	10	7	12	8	9	7	7	8	7	5	4	9	13	8	6	7	8	8	4	7	7	5	8	6	7	5	4	7	6	8	6	6	8	7	7	6	7	6	6	7	8	9	7	10	8	9	7	8	8	7	5	6	12	7	7	10	10	10	9	10	8	6	7
B77	15	7	7	9	9	7	5	6	6	7	7	9	5	7	11	7	7	7	7	7	7	7	5	8	4	6	8	8	9	8	8	7	2	8	7	10	7	5	7	5	6	6	9	8	8	7	9	7	9	5	5	8	9	10	8	8	8	11	10	8	8	10	7	8	7	10	7	7	6	9	5	4	8	9	7	6	7	9	12	6	6	8	6	6	7	8	7	9	6	11	5	10	3	8	3	3	5	4	8	5	6
B79	15	6	9	9	8	8	9	10	9	8	5	9	6	9	5	5	9	9	6	9	7	8	8	8	10	9	5	8	10	9	6	8	7	7	6	7	6	6	7	8	10	7	7	9	8	8	6	10	6	11	7	10	11	4	5	8	12	8	9	5	9	5	4	9	7	8	6	7	6	3	5	6	4	5	9	6	8	7	9	8	8	11	10	9	10	6	8	8	7	9	7	6	10	7	7	9	7	8	6	10	10
B84	15	11	6	5	5	9	3	6	10	7	4	6	6	6	9	7	4	7	7	8	11	4	9	9	7	9	6	9	5	5	5	10	4	9	8	8	6	10	6	6	12	10	6	7	8	11	7	5	9	6	7	7	7	9	8	7	6	7	6	6	8	6	6	9	7	10	7	7	13	8	5	7	7	7	10	10	7	7	7	11	6	7	9	6	3	6	6	10	7	8	7	8	9	7	7	5	5	3	10	6	9
B97	15	9	10	9	11	9	11	6	11	6	10	6	7	7	10	10	7	6	6	9	4	8	7	7	12	9	7	9	9	8	10	8	6	7	10	4	13	10	8	10	8	9	5	12	11	10	5	6	8	9	9	8	8	10	5	8	10	11	9	8	7	6	8	5	11	8	9	6	7	8	7	8	5	5	7	7	5	6	7	5	7	7	12	9	4	8	7	6	6	4	9	8	9	7	7	8	7	6	9	7	4
C103	15	6	9	8	7	8	10	6	5	6	7	7	10	9	7	7	9	11	10	8	7	12	8	8	10	8	4	7	8	6	6	8	7	10	3	9	9	7	8	9	9	5	3	8	9	8	7	9	5	11	8	7	7	7	9	7	7	14	10	8	9	5	7	5	6	8	5	6	4	10	7	9	7	7	6	12	7	10	8	9	7	6	6	4	6	11	7	7	8	5	9	10	10	8	9	5	7	13	9	10	5
C123	15	8	9	6	10	7	7	5	7	10	7	11	9	7	9	7	4	10	7	9	6	12	7	6	9	13	11	7	8	10	6	11	8	5	9	6	6	11	10	10	5	7	8	11	6	11	8	10	8	12	8	7	7	6	8	6	9	9	8	7	6	8	9	7	5	7	9	9	9	9	8	5	6	8	9	7	7	5	8	6	8	8	9	8	6	7	7	8	7	8	6	5	6	7	9	6	6	8	9	7	10
C49A	15	9	5	9	11	6	9	4	10	6	9	7	9	9	9	8	9	8	3	2	11	9	10	9	11	10	9	10	7	12	8	9	7	7	8	7	5	4	9	13	8	6	7	8	8	4	7	7	5	8	6	7	5	4	7	6	8	6	6	8	7	7	6	7	6	6	7	8	9	7	10	8	9	7	8	8	7	5	6	12	7	7	10	10	10	9	10	8	6	7	11	6	8	5	6	10	3	7	6	8	10
CH701-30	15	14	13	14	13	13	14	13	13	13	13	15	13	15	14	12	13	12	13	12	13	15	13	13	11	13	14	14	14	14	14	12	13	13	14	12	13	12	14	15	13	12	11	13	13	13	10	11	12	12	11	13	13	13	11	14	14	14	12	15	15	13	12	13	14	13	12	10	14	14	13	14	14	13	13	14	12	14	10	14	11	15	13	15	15	15	15	13	14	14	12	13	13	14	11	12	13	12	14	14	14
CH9	15	13	14	13	14	12	12	14	12	13	12	13	13	11	12	14	13	11	12	14	13	13	13	14	13	14	14	13	12	11	13	13	12	12	13	14	11	14	10	13	11	10	15	14	12	9	13	12	15	12	15	15	12	13	12	14	13	14	15	15	14	15	14	12	14	12	14	12	13	13	10	11	12	11	14	12	13	13	12	13	14	11	14	13	12	13	13	14	11	11	12	14	14	13	11	9	14	12	11	13	14
CI.7	15	13	12	14	13	15	13	13	13	11	15	12	12	13	12	14	12	15	15	15	11	15	12	13	13	14	11	14	14	10	11	14	13	13	10	14	15	12	14	13	13	13	12	13	13	14	13	14	14	13	14	14	12	14	11	13	13	9	12	14	13	13	13	11	11	13	14	13	11	14	13	12	14	15	14	14	11	13	12	13	13	12	13	13	14	14	15	11	14	12	10	11	15	13	14	11	14	13	14	13	14
CI187-2	15	12	12	12	11	14	14	14	12	15	12	13	14	9	12	14	12	12	13	11	12	14	13	11	15	8	11	13	11	13	12	14	9	11	11	14	14	12	12	12	13	13	11	15	13	11	10	12	13	14	14	13	14	10	12	12	14	13	13	14	12	15	15	13	13	15	14	13	14	14	13	9	12	15	13	14	14	14	15	12	13	12	14	13	13	13	14	12	13	15	14	13	13	15	14	12	14	14	13	13	10
CI21E	15	13	14	11	13	12	10	11	13	13	9	13	12	11	13	15	13	12	14	14	12	13	11	15	12	12	14	13	12	12	15	15	12	12	13	13	12	14	10	13	13	13	13	12	13	13	8	11	12	12	14	13	14	14	12	14	14	15	11	13	12	13	13	14	9	13	11	13	12	13	14	14	15	14	10	13	14	13	15	12	11	11	13	12	14	13	9	12	11	14	13	13	13	12	13	11	11	13	12	14	14
CI28A	15	14	11	12	13	15	11	13	12	14	10	14	14	12	8	10	13	12	11	14	10	13	14	12	14	14	10	11	11	14	13	13	10	14	11	13	11	12	9	13	13	14	14	13	14	12	12	13	14	14	13	12	13	14	13	12	12	12	12	13	14	14	13	12	13	13	15	13	14	13	13	12	13	14	13	13	13	13	13	14	14	14	13	12	14	14	13	12	13	11	11	10	12	15	11	13	13	14	13	15	14
CI31A	15	15	12	14	13	12	13	15	15	10	12	11	12	10	11	12	11	13	9	13	12	13	14	13	13	14	15	12	8	13	14	13	13	13	15	13	13	15	12	14	13	14	15	13	14	13	14	14	13	13	13	14	13	14	14	14	13	12	13	11	13	12	13	12	13	13	14	14	10	14	13	11	11	11	12	11	13	14	14	10	14	13	15	14	11	15	13	14	12	11	14	15	11	14	14	12	12	13	11	14	12
CI3A	15	14	13	12	12	13	12	13	12	13	15	13	13	11	13	14	14	14	14	14	12	13	13	14	12	13	12	14	15	13	12	11	13	13	13	10	11	12	12	11	13	13	13	11	14	14	14	12	15	15	13	12	13	14	13	12	10	14	14	13	14	14	13	13	14	12	14	10	14	11	15	13	15	15	15	15	13	14	14	12	13	13	14	11	12	13	12	14	14	14	13	14	14	15	13	14	12	12	13	12	11
CI64	15	12	13	12	14	13	11	12	14	13	13	13	14	13	14	14	13	12	11	13	13	12	12	13	14	11	14	10	13	11	10	15	14	12	9	13	12	15	12	15	15	12	13	12	14	13	14	15	15	14	15	14	12	14	12	14	12	13	13	10	11	12	11	14	12	13	13	12	13	14	11	14	13	12	13	13	14	11	11	12	14	14	13	11	9	14	12	11	13	14	11	14	12	12	15	13	13	14	11	10	15
CI66	15	14	14	13	14	12	15	15	15	11	15	12	13	13	14	11	14	14	10	11	14	13	13	10	14	15	12	14	13	13	13	12	13	13	14	13	14	14	13	14	14	12	14	11	13	13	9	12	14	13	13	13	11	11	13	14	13	11	14	13	12	14	15	14	14	11	13	12	13	13	12	13	13	14	14	15	11	14	12	10	11	15	13	14	11	14	13	14	13	14	13	13	14	12	12	13	13	14	12	14	9
CI90C	15	14	11	13	14	12	12	13	11	12	14	13	11	15	8	11	13	11	13	12	14	9	11	11	14	14	12	12	12	13	13	11	15	13	11	10	12	13	14	14	13	14	10	12	12	14	13	13	14	12	15	15	13	13	15	14	13	14	14	13	9	12	15	13	14	14	14	15	12	13	12	14	13	13	13	14	12	13	15	14	13	13	15	14	12	14	14	13	13	10	11	14	13	13	11	14	12	11	13	14	11
