these.names	rep.num.plants.per.plot..nrow.simulated.data..	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
A556	10	10	10	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10	10	8	8	10	10	9	10	10
A6	10	10	10	8	9	8	9	10	10	9	8	7	10	9	8	10	10	8	10	9	9	10	10	9	10	8	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9
A619	10	8	5	5	8	6	5	5	10	8	8	5	9	7	9	8	9	8	8	8	6	7	7	7	8	6	8	4	9	6	4	8	6	8	7	7	6	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7	7	8	8	7	8	5	10	6	6	8	7	6	6	9	10	7	6	7
A632	10	8	6	9	7	9	9	7	7	10	8	7	9	8	7	7	4	6	8	8	7	5	8	7	6	7	8	5	6	9	8	6	9	9	9	8	9	8	9	6	9	7	9	8	7	9	8	8	7	4	8	4	7	7	8	7	7	8	8	6	8	8	9	8	5	8	5	6	8	6	8	9	5	8	6	9	4	8	9	6	3	5	8	7	5	8	5	7	9	6	8	9	5	6	6	9	8	7	5	8	5
A634	10	9	10	10	8	10	10	9	10	9	10	9	8	10	9	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10	9	10	9	10	9	10	9	9	9	10	9	10	10	10	8	9	8	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10
A635	10	8	7	6	8	6	5	5	6	9	6	7	8	8	7	9	9	9	5	5	8	8	7	9	9	9	6	6	10	9	8	8	8	9	7	5	5	7	9	6	6	9	9	9	7	7	9	8	6	8	9	8	8	7	8	7	9	8	5	8	8	8	8	8	8	8	9	7	9	8	7	7	6	7	7	8	10	7	8	5	8	9	8	9	8	9	7	7	7	8	7	8	6	9	9	7	6	6	7	7	7
A641	10	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10	10	10	10	10	9	9	9	9	10	9	8	9	10	9	9	8	9	10	10	9	10	9	10	10	9	9	10	9	10	9	9	9	9	9	10	10	8	9	10	9	10	10	10	10	10	10	10	9	8	10	10	9	9	9	10	8	10	8	10	8	8	10	10	9	7
A654	10	10	10	9	10	10	9	10	10	10	10	10	9	9	10	9	9	10	10	10	10	10	8	9	8	9	9	9	10	9	9	10	9	10	10	9	10	9	10	8	10	10	10	10	9	10	10	9	10	9	10	10	8	10	10	10	10	10	9	10	10	10	10	10	8	10	9	9	10	9	10	9	10	10	10	9	10	9	9	10	10	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10
A659	10	9	6	8	7	9	5	8	7	7	9	8	7	8	5	5	9	7	8	7	8	7	8	9	8	9	7	7	7	7	6	7	6	6	9	8	7	8	8	7	8	6	9	6	9	7	7	7	5	6	5	8	5	9	6	9	7	8	5	6	8	9	8	6	10	7	7	8	4	6	8	6	6	7	5	7	8	7	5	10	3	6	7	6	7	6	9	4	5	6	9	9	7	6	6	7	7	6	9	7	5
A661	10	7	7	4	8	9	8	8	8	6	7	7	7	8	6	8	4	9	6	4	8	6	8	7	7	6	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7	7	8	8	7	8	5	10	6	6	8	7	6	6	9	10	7	6	7	8	6	9	5	7	7	8	8	6	8	8
A679	10	10	8	8	7	4	6	8	8	7	5	8	7	6	7	8	5	6	9	8	6	9	9	9	8	9	8	9	6	9	7	9	8	7	9	8	8	7	4	8	4	7	7	8	7	7	8	8	6	8	8	9	8	5	8	5	6	8	6	8	9	5	8	6	9	4	8	9	6	3	5	8	7	5	8	5	7	9	6	8	9	5	6	6	9	8	7	5	8	5	7	5	7	3	7	8	8	8	7	8	7
A680	10	10	8	10	10	10	10	10	10	9	8	10	10	9	7	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10	9	10	9	10	9	10	9	9	9	10	9	10	10	10	8	9	8	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10
A682	10	7	9	8	9	9	9	5	5	8	8	7	9	9	9	6	6	10	9	8	8	8	9	7	5	5	7	9	6	6	9	9	9	7	7	9	8	6	8	9	8	8	7	8	7	9	8	5	8	8	8	8	8	8	8	9	7	9	8	7	7	6	7	7	8	10	7	8	5	8	9	8	9	8	9	7	7	7	8	7	8	6	9	9	7	6	6	7	7	7	4	5	7	7	6	8	7	7	5	8	8
AB28A	10	10	10	9	10	9	9	9	10	9	9	10	10	10	10	10	10	9	10	8	10	8	10	10	10	10	10	10	10	9	9	9	9	10	9	8	9	10	9	9	8	9	10	10	9	10	9	10	10	9	9	10	9	10	9	9	9	9	9	10	10	8	9	10	9	10	10	10	10	10	10	10	9	8	10	10	9	9	9	10	8	10	8	10	8	8	10	10	9	7	10	9	10	9	10	10	9	10	9	10	10
B10	10	8	9	6	6	6	9	8	7	9	9	5	7	4	7	7	7	8	6	7	9	7	9	8	6	10	7	9	6	7	9	7	9	6	8	8	7	9	6	10	9	6	7	10	8	9	8	6	8	9	7	8	7	5	10	7	6	8	6	8	6	9	9	9	6	10	6	7	7	9	6	9	8	4	6	8	8	7	5	8	9	7	8	8	8	8	6	7	7	8	8	8	8	7	9	8	6	8	5	8	7
B103	10	10	9	9	8	10	9	10	9	10	9	10	10	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10
B104	10	10	9	8	10	7	10	9	7	10	9	10	10	10	9	10	9	10	10	9	10	10	10	10	9	10	9	8	9	9	9	10	10	7	10	9	10	10	10	8	10	10	10	10	10	8	9	10	10	9	8	9	9	10	7	9	9	9	9	10	10	9	10	10	9	10	8	10	9	9	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10
B105	10	9	10	10	10	8	9	10	10	9	10	10	10	10	10	10	10	9	10	10	10	10	9	10	10	10	9	7	10	7	10	9	10	9	9	10	10	9	10	10	10	10	8	10	8	9	10	9	10	10	8	10	9	10	7	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9
B109	10	10	10	10	10	9	10	9	10	9	10	8	8	10	9	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10	9	10	9	10	9	10	9	9	9	10	9	10	10	10	8	9	8	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
B115	10	9	9	8	9	9	10	10	10	10	10	10	9	8	8	9	10	9	9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	9	10	10	8	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	10	10	10	10	8	10	10	10	10	10	10	9	10	10	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7
B14A	10	9	7	8	8	9	6	7	5	9	6	8	8	8	8	8	9	8	7	6	7	6	10	7	4	7	7	7	6	5	6	7	9	6	8	6	9	9	6	7	8	7	8	7	7	7	6	6	9	7	5	6	9	7	7	8	9	7	8	8	7	7	5	8	8	6	7	7	9	5	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7
B164	10	9	10	10	9	9	10	9	9	10	9	10	10	9	10	9	10	8	10	10	10	10	9	10	10	9	10	9	10	10	8	10	10	10	10	10	9	10	10	10	10	10	8	10	9	9	10	9	10	9	10	10	10	9	10	9	9	10	10	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10
B2	10	9	10	10	10	9	9	10	9	9	9	9	10	10	9	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10
B37	10	6	6	8	8	7	10	8	6	8	10	10	7	6	7	6	5	6	6	7	8	9	3	10	7	8	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7	7	8	8	7	8	5	10	6	6	8	7	6	6	9	10	7	6	7	8	6	9	5	7	7	8	8	6	8	8	2	6	7	6	9	7	9	9	7	9	8	10	5	8	7	8	8	8	4	8	6	7
B46	10	10	9	10	10	10	9	10	10	10	10	9	10	10	10	9	7	10	7	10	9	10	9	9	10	10	9	10	10	10	10	8	10	8	9	10	9	10	10	8	10	9	10	7	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10
B52	10	9	9	10	7	9	9	10	10	10	10	10	10	10	10	8	10	10	10	10	10	9	9	10	10	8	8	10	9	10	9	10	9	10	9	9	9	10	9	10	10	10	8	9	8	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10
B57	10	10	10	10	9	10	9	9	10	10	10	10	10	10	10	9	10	10	10	10	10	10	9	10	10	8	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	10	10	10	10	8	10	10	10	10	10	10	9	10	10	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8
B64	10	5	7	7	8	9	8	7	6	7	6	10	7	4	7	7	7	6	5	6	7	9	6	8	6	9	9	6	7	8	7	8	7	7	7	6	6	9	7	5	6	9	7	7	8	9	7	8	8	7	7	5	8	8	6	7	7	9	5	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7
B68	10	8	8	5	7	9	6	7	9	7	9	6	8	8	7	9	6	10	9	6	7	10	8	9	8	6	8	9	7	8	7	5	10	7	6	8	6	8	6	9	9	9	6	10	6	7	7	9	6	9	8	4	6	8	8	7	5	8	9	7	8	8	8	8	6	7	7	8	8	8	8	7	9	8	6	8	5	8	7	3	7	9	8	7	7	6	5	8	8	8	5	8	8	6	8	10	8	8	5	8	7
B73	10	10	9	10	10	10	9	10	9	10	9	10	9	9	9	8	9	8	10	8	10	8	10	10	10	8	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10
B73HTRHM	10	10	8	10	9	8	9	9	9	10	10	7	10	9	10	10	10	8	10	10	10	10	10	8	9	10	10	9	8	9	9	10	7	9	9	9	9	10	10	9	10	10	9	10	8	10	9	9	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10
B75	10	10	10	10	9	7	10	7	10	9	10	9	9	10	10	9	10	10	10	10	8	10	8	9	10	9	10	10	8	10	9	10	7	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9
B76	10	8	7	6	5	10	9	8	8	9	6	7	8	8	5	5	8	6	10	6	8	6	7	7	7	6	7	6	7	10	10	5	6	5	6	5	5	6	6	8	4	7	6	8	8	7	8	9	10	7	3	7	8	8	7	7	10	8	8	9	7	8	8	9	10	8	8	7	8	8	7	8	8	8	7	8	8	8	7	6	8	5	7	7	8	7	7	8	9	9	4	8	8	5	5	5	6	6	7	9	8
B77	10	8	8	7	6	8	9	8	8	7	8	7	9	8	5	8	8	8	8	8	8	8	9	7	9	8	7	7	6	7	7	8	10	7	8	5	8	9	8	9	8	9	7	7	7	8	7	8	6	9	9	7	6	6	7	7	7	4	5	7	7	6	8	7	7	5	8	8	9	7	9	10	7	7	8	8	8	6	4	8	8	7	8	8	7	7	8	7	8	5	9	5	10	7	10	10	9	10	7	9	8
B79	10	8	7	6	7	7	6	5	6	7	9	6	8	6	9	9	6	7	8	7	8	7	7	7	6	6	9	7	5	6	9	7	7	8	9	7	8	8	7	7	5	8	8	6	7	7	9	5	8	5	8	5	4	10	9	7	3	7	6	9	7	9	9	6	8	7	8	8	9	10	9	8	9	9	6	8	7	8	7	7	7	4	5	7	5	8	7	7	8	7	8	8	6	8	8	7	8	7	8	6	5
B84	10	4	8	9	9	6	10	9	6	7	10	8	9	8	6	8	9	7	8	7	5	10	7	6	8	6	8	6	9	9	9	6	10	6	7	7	9	6	9	8	4	6	8	8	7	5	8	9	7	8	8	8	8	6	7	7	8	8	8	8	7	9	8	6	8	5	8	7	3	7	9	8	7	7	6	5	8	8	8	5	8	8	6	8	10	8	8	5	8	7	8	7	6	8	7	9	9	10	6	8	6
B97	10	6	6	6	5	6	5	8	5	9	6	9	7	8	5	6	8	9	8	6	10	7	7	8	4	6	8	6	6	7	5	7	8	7	5	10	3	6	7	6	7	6	9	4	5	6	9	9	7	6	6	7	7	6	9	7	5	5	6	7	8	8	7	9	5	7	6	8	8	7	8	7	9	9	8	7	9	8	8	9	8	8	4	6	9	7	8	9	8	9	6	7	6	8	8	7	8	8	6	7	9
C103	10	9	6	7	8	7	5	8	9	8	8	8	5	7	8	8	7	5	6	7	8	4	7	7	6	7	10	7	7	8	8	7	8	5	10	6	6	8	7	6	6	9	10	7	6	7	8	6	9	5	7	7	8	8	6	8	8	2	6	7	6	9	7	9	9	7	9	8	10	5	8	7	8	8	8	4	8	6	7	6	8	8	8	9	9	5	8	8	7	9	6	5	5	7	6	9	7	3	6	5	9
C123	10	7	6	8	6	8	8	9	8	5	8	5	6	8	6	8	9	5	8	6	9	4	8	9	6	3	5	8	7	5	8	5	7	9	6	8	9	5	6	6	9	8	7	5	8	5	7	5	7	3	7	8	8	8	7	8	7	6	7	8	8	7	7	8	9	8	6	6	6	6	7	9	8	7	7	7	7	9	7	9	7	7	7	7	8	8	8	7	8	7	9	9	9	7	6	8	8	7	6	8	6
C49A	10	6	9	7	5	8	6	10	6	8	6	7	7	7	6	7	6	7	10	10	5	6	5	6	5	5	6	6	8	4	7	6	8	8	7	8	9	10	7	3	7	8	8	7	7	10	8	8	9	7	8	8	9	10	8	8	7	8	8	7	8	8	8	7	8	8	8	7	6	8	5	7	7	8	7	7	8	9	9	4	8	8	5	5	5	6	6	7	9	8	5	9	7	9	8	5	10	7	8	7	6
CH701-30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	10	10	10	10	8	10	10	10	10	10	10	9	10	10	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10
CH9	10	9	10	10	10	9	9	10	9	10	9	9	9	9	9	10	10	8	9	10	9	10	10	10	10	10	10	10	9	8	10	10	9	9	9	10	8	10	8	10	8	8	10	10	9	7	10	9	10	9	10	10	9	10	9	10	10	10	10	10	10	10	10	9	10	9	10	9	9	9	8	8	9	8	10	9	10	10	9	10	10	9	10	10	9	10	10	10	9	8	9	10	10	9	8	7	10	9	8	10	10
CI.7	10	9	9	10	10	10	10	10	10	8	10	9	9	10	9	10	9	10	10	10	9	10	9	9	10	10	9	10	10	8	9	10	10	9	8	10	10	9	10	10	10	10	9	9	10	10	10	10	10	9	10	10	9	10	8	10	10	7	9	10	10	10	10	9	8	10	10	10	8	10	10	9	10	10	10	10	8	10	9	10	10	9	10	10	10	10	10	9	10	9	8	8	10	10	10	8	10	9	10	10	10
CI187-2	10	9	9	9	9	10	10	10	9	10	9	10	10	7	9	10	9	9	9	8	9	10	10	8	10	7	9	9	9	9	9	10	7	8	9	10	10	9	9	9	9	10	9	10	10	8	8	9	10	10	10	10	10	8	9	9	10	10	9	10	9	10	10	10	10	10	10	10	10	10	10	7	9	10	9	10	10	10	10	9	9	9	10	10	9	10	10	9	10	10	10	9	9	10	10	9	10	10	10	10	8
CI21E	10	10	10	9	10	9	8	9	9	10	7	9	9	9	9	10	10	9	10	10	9	10	8	10	9	9	10	10	9	9	10	10	9	9	10	10	9	10	8	9	10	10	10	9	10	10	6	9	9	9	10	10	10	10	9	10	10	10	8	10	9	10	10	10	7	10	9	9	9	10	10	10	10	10	8	10	10	9	10	9	8	8	9	9	10	10	7	9	8	10	10	9	10	9	10	9	8	10	9	10	10
CI28A	10	10	8	9	10	10	8	10	9	10	7	10	10	9	7	8	10	9	8	10	8	10	10	9	10	10	8	9	9	10	10	9	8	10	8	10	8	9	7	9	10	10	10	10	10	9	9	9	10	10	9	9	10	10	10	9	9	9	9	9	10	10	9	9	10	10	10	10	10	9	9	9	9	10	10	10	9	10	9	10	10	10	10	9	10	10	9	9	10	9	8	8	9	10	9	9	10	10	9	10	10
CI31A	10	10	9	10	10	9	10	10	10	8	9	8	9	8	8	9	9	10	7	9	9	10	10	9	10	10	10	9	6	9	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	10	8	10	9	10	9	10	10	10	10	7	10	10	8	8	8	9	9	10	10	10	8	10	9	10	10	8	10	10	10	9	9	10	10	8	10	10	9	9	10	8	10	9
CI3A	10	10	10	9	9	9	9	9	9	10	10	10	10	8	10	10	10	10	10	10	9	10	10	10	9	10	9	10	10	9	9	9	10	9	10	8	8	9	9	8	10	10	10	8	10	10	10	9	10	10	10	9	10	10	10	9	7	10	10	9	10	10	10	9	10	9	10	8	10	8	10	10	10	10	10	10	10	10	10	9	9	10	10	8	9	10	9	10	10	10	9	10	10	10	10	10	9	9	10	9	9
